GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Tetris,com.tetris.game,PieceStick,0,86,1,2,0,18,1,5,0,4
Tetris,com.tetris.game,PieceT,0,130,1,4,0,24,1,7,0,4
Tetris,com.tetris.game,Clock,0,23,0,0,0,7,0,5,0,5
Tetris,com.tetris.game,TestPiece,0,15,0,0,0,6,0,1,0,1
Tetris,com.tetris.game,Tetris,37,49,8,4,16,14,10,5,4,5
Tetris,com.tetris.game,PieceDog,0,161,1,2,0,22,1,5,0,4
Tetris,com.tetris.game,PieceL,0,263,1,4,0,28,1,7,0,4
Tetris,com.tetris.game,Board,283,628,42,70,49,138,35,54,4,26
Tetris,com.tetris.game,BasePiece,0,83,0,4,0,32,0,18,0,16
Tetris,com.tetris.game,PieceSquare,0,44,0,0,0,10,0,4,0,4
